word,swapped_word,length,same
odd,odd,3,true
accurate,accurate,8,true
occupy,occupy,6,true
fool,fool,4,true
affiliation,affiliation,11,true
offensive,offensive,9,true
boost,boost,5,true
ill,ill,3,true
boom,boom,4,true
attractive,attractive,10,true
assembly,assembly,8,true
scared,sacred,6,false
heel,heel,4,true
illustration,illustration,12,true
weekly,weekly,6,true
efficiency,efficiency,10,true
efficient,efficient,9,true
carter,crater,6,false
appointment,appointment,11,true
assignment,assignment,10,true
assert,assert,6,true
cookie,cookie,6,true
cooking,cooking,7,true
appoint,appoint,7,true
peel,peel,4,true
odds,odds,4,true
announcer,announcer,9,true
arrival,arrival,7,true
lion,loin,4,false
beef,beef,4,true
effectiveness,effectiveness,13,true
array,array,5,true
occupation,occupation,10,true
anniversary,anniversary,11,true
acceptance,acceptance,10,true
pad,pda,3,false
acceptable,acceptable,10,true
reed,reed,4,true
allegation,allegation,10,true
essence,essence,7,true
innovation,innovation,10,true
occasional,occasional,10,true
seemingly,seemingly,9,true
assemble,assemble,8,true
feedback,feedback,8,true
announcement,announcement,12,true
doorway,doorway,7,true
noon,noon,4,true
cooperative,cooperative,11,true
needle,needle,6,true
accommodate,accommodate,11,true
loop,loop,4,true
bolt,blot,4,false
accent,accent,6,true
booth,booth,5,true
carve,crave,5,false
attraction,attraction,10,true
hood,hood,4,true
accounting,accounting,10,true
accuracy,accuracy,8,true
teenage,teenage,7,true
associated,associated,10,true
weed,weed,4,true
coordinate,coordinate,10,true
offering,offering,8,true
annually,annually,8,true
barn,bran,4,false
alleged,alleged,7,true
cooperate,cooperate,9,true
opposed,opposed,7,true
offseason,offseason,9,true
coordinator,coordinator,11,true
officially,officially,10,true
immune,immune,6,true
alley,alley,5,true
rookie,rookie,6,true
bee,bee,3,true
accomplishment,accomplishment,14,true
diary,dairy,5,false
accessible,accessible,10,true
aggression,aggression,10,true
inn,inn,3,true
attendance,attendance,10,true
innovative,innovative,10,true
appreciation,appreciation,12,true
rib,rbi,3,false
illusion,illusion,8,true
accord,accord,6,true
deem,deem,4,true
stain,satin,5,false
added,added,5,true
addict,addict,6,true
allegedly,allegedly,9,true
affirmative,affirmative,11,true
offender,offender,8,true
poorly,poorly,6,true
accountability,accountability,14,true
arrow,arrow,5,true
addiction,addiction,9,true
loom,loom,4,true
attendant,attendant,9,true
accurately,accurately,10,true
accusation,accusation,10,true
applause,applause,8,true
accelerate,accelerate,10,true
affordable,affordable,10,true
farming,framing,7,false
utter,utter,5,true
goodness,goodness,8,true
accumulate,accumulate,10,true
zoo,zoo,3,true
affection,affection,9,true
attain,attain,6,true
offend,offend,6,true
assertion,assertion,9,true
appetite,appetite,8,true
reel,reel,4,true
allege,allege,6,true
accommodation,accommodation,13,true
doom,doom,4,true
illuminate,illuminate,10,true
affiliate,affiliate,9,true
goose,goose,5,true
weep,weep,4,true
goodbye,goodbye,7,true
assassination,assassination,13,true
unnecessary,unnecessary,11,true
wool,wool,4,true
applicant,applicant,9,true
accordingly,accordingly,11,true
innocence,innocence,9,true
fried,fired,5,false
attachment,attachment,10,true
spa,sap,3,false
additionally,additionally,12,true
allied,allied,6,true
affirm,affirm,6,true
utterly,utterly,7,true
offset,offset,6,true
accountable,accountable,11,true
offshore,offshore,8,true
peek,peek,4,true
footage,footage,7,true
assurance,assurance,9,true
foolish,foolish,7,true
accessory,accessory,9,true
immense,immense,7,true
boomer,boomer,6,true
efficacy,efficacy,8,true
deed,deed,4,true
applaud,applaud,7,true
irrelevant,irrelevant,10,true
footstep,footstep,8,true
tee,tee,3,true
coordination,coordination,12,true
loosen,loosen,6,true
accountant,accountant,10,true
bookstore,bookstore,9,true
appliance,appliance,9,true
occurrence,occurrence,10,true
applied,applied,7,true
footnote,footnote,8,true
occupational,occupational,12,true
reef,reef,4,true
appropriation,appropriation,13,true
aggressively,aggressively,12,true
oddly,oddly,5,true
efficiently,efficiently,11,true
keen,keen,4,true
appropriately,appropriately,13,true
noodle,noodle,6,true
innings,innings,7,true
offspring,offspring,9,true
jeep,jeep,4,true
opposing,opposing,8,true
liar,lair,4,false
allocate,allocate,8,true
app,app,3,true
allergy,allergy,7,true
oppression,oppression,10,true
accepted,accepted,8,true
illegally,illegally,9,true
allocation,allocation,10,true
crap,carp,4,false
deepen,deepen,6,true
accompanying,accompanying,12,true
imminent,imminent,8,true
attic,attic,5,true
roommate,roommate,8,true
colt,clot,4,false
ammunition,ammunition,10,true
hmm,hmm,3,true
immunity,immunity,8,true
irrigation,irrigation,10,true
zoom,zoom,4,true
moonlight,moonlight,9,true
loosely,loosely,7,true
apparatus,apparatus,9,true
beetle,beetle,6,true
cooked,cooked,6,true
accidentally,accidentally,12,true
appealing,appealing,9,true
inning,inning,6,true
deepest,deepest,7,true
gee,gee,3,true
trot,tort,4,false
applicable,applicable,10,true
appraisal,appraisal,9,true
affluent,affluent,8,true
keeper,keeper,6,true
allegiance,allegiance,10,true
cookbook,cookbook,8,true
allowance,allowance,9,true
hoop,hoop,4,true
alleviate,alleviate,9,true
accordance,accordance,10,true
accidental,accidental,10,true
moose,moose,5,true
accustom,accustom,8,true
arrogant,arrogant,8,true
woodland,woodland,8,true
acceleration,acceleration,12,true
affective,affective,9,true
apprentice,apprentice,10,true
aggregate,aggregate,9,true
irresponsible,irresponsible,13,true
weekday,weekday,7,true
attempted,attempted,9,true
feeding,feeding,7,true
cooler,cooler,6,true
seep,seep,4,true
footprint,footprint,9,true
booster,booster,7,true
carving,craving,7,false
irregular,irregular,9,true
annoying,annoying,8,true
rooftop,rooftop,7,true
eccentric,eccentric,9,true
heed,heed,4,true
occupant,occupant,8,true
immerse,immerse,7,true
accumulation,accumulation,12,true
slit,silt,4,false
woo,woo,3,true
irrational,irrational,10,true
attacker,attacker,8,true
illicit,illicit,7,true
annoyed,annoyed,7,true
arrogance,arrogance,9,true
attribution,attribution,11,true
approximate,approximate,11,true
irritate,irritate,8,true
assassin,assassin,8,true
booming,booming,7,true
soothing,soothing,8,true
allude,allude,6,true
attest,attest,6,true
accustomed,accustomed,10,true
veer,veer,4,true
apparel,apparel,7,true
rook,rook,4,true
boo,boo,3,true
appetizer,appetizer,9,true
affected,affected,8,true
needy,needy,5,true
assortment,assortment,10,true
assimilation,assimilation,12,true
goodwill,goodwill,8,true
soothe,soothe,6,true
assassinate,assassinate,11,true
pee,pee,3,true
irritation,irritation,10,true
irresistible,irresistible,12,true
allergic,allergic,8,true
loot,loot,4,true
accomplished,accomplished,12,true
beet,beet,4,true
affinity,affinity,8,true
accused,accused,7,true
hoof,hoof,4,true
assimilate,assimilate,10,true
accreditation,accreditation,13,true
appendix,appendix,8,true
cooling,cooling,7,true
acculturation,acculturation,13,true
occupied,occupied,8,true
footing,footing,7,true
needless,needless,8,true
beep,beep,4,true
attainment,attainment,10,true
attire,attire,6,true
seeker,seeker,6,true
unnoticed,unnoticed,9,true
attentive,attentive,9,true
alligator,alligator,9,true
loophole,loophole,8,true
apprehension,apprehension,12,true
affirmation,affirmation,11,true
lookout,lookout,7,true
errand,errand,6,true
oppressive,oppressive,10,true
assorted,assorted,8,true
eddy,eddy,4,true
unnatural,unnatural,9,true
afflict,afflict,7,true
annoy,annoy,5,true
eggplant,eggplant,8,true
immoral,immoral,7,true
coordinated,coordinated,11,true
annoyance,annoyance,9,true
hoot,hoot,4,true
aggravate,aggravate,9,true
affidavit,affidavit,9,true
accessibility,accessibility,13,true
wee,wee,3,true
approved,approved,8,true
wooded,wooded,6,true
addictive,addictive,9,true
appointee,appointee,9,true
seedling,seedling,8,true
innate,innate,6,true
additive,additive,8,true
immensely,immensely,9,true
immortal,immortal,8,true
offstage,offstage,8,true
foothill,foothill,8,true
acclaim,acclaim,7,true
attributable,attributable,12,true
booze,booze,5,true
issuer,issuer,6,true
hookup,hookup,6,true
booklet,booklet,7,true
doorstep,doorstep,8,true
erratic,erratic,7,true
rooster,rooster,7,true
accelerated,accelerated,11,true
feeder,feeder,6,true
ebb,ebb,3,true
accentuate,accentuate,10,true
illumination,illumination,12,true
appalling,appalling,9,true
teeter,teeter,6,true
beech,beech,5,true
bookshelf,bookshelf,9,true
abbey,abbey,5,true
attendee,attendee,8,true
allusion,allusion,8,true
doorbell,doorbell,8,true
unnamed,unnamed,7,true
assertive,assertive,9,true
otter,otter,5,true
attrition,attrition,9,true
accompaniment,accompaniment,13,true
moody,moody,5,true
alloy,alloy,5,true
acclaimed,acclaimed,9,true
accelerator,accelerator,11,true
leek,leek,4,true
boon,boon,4,true
occupancy,occupancy,9,true
weeping,weeping,7,true
booker,booker,6,true
assemblage,assemblage,10,true
appellate,appellate,9,true
ploy,poly,4,false
oppressed,oppressed,9,true
allure,allure,6,true
moor,moor,4,true
illiterate,illiterate,10,true
peep,peep,4,true
apprehend,apprehend,9,true
looming,looming,7,true
utterance,utterance,9,true
burnt,brunt,5,false
illustrator,illustrator,11,true
accrue,accrue,6,true
immature,immature,8,true
feeble,feeble,6,true
illegitimate,illegitimate,12,true
immersion,immersion,9,true
bye,bey,3,false
accuser,accuser,7,true
roost,roost,5,true
seeming,seeming,7,true
looting,looting,7,true
affectionate,affectionate,12,true
appalachian,appalachian,11,true
nook,nook,4,true
booty,booty,5,true
goodies,goodies,7,true
geek,geek,4,true
assured,assured,7,true
bookcase,bookcase,8,true
offending,offending,9,true
annuity,annuity,7,true
ammonia,ammonia,7,true
unnerve,unnerve,7,true
feedstock,feedstock,9,true
accumulated,accumulated,11,true
goofy,goofy,5,true
irregularity,irregularity,12,true
erroneous,erroneous,9,true
appease,appease,7,true
irritating,irritating,10,true
irreversible,irreversible,12,true
immaculate,immaculate,10,true
accomplice,accomplice,10,true
reek,reek,4,true
appreciative,appreciative,12,true
approaching,approaching,11,true
roomy,roomy,5,true
hooded,hooded,6,true
apprenticeship,apprenticeship,14,true
apparition,apparition,10,true
immunization,immunization,12,true
mmm,mmm,3,true
appall,appall,6,true
assigned,assigned,8,true
cooker,cooker,6,true
assailant,assailant,9,true
keenly,keenly,6,true
immortality,immortality,11,true
allegory,allegory,8,true
oppress,oppress,7,true
appointed,appointed,9,true
unnecessarily,unnecessarily,13,true
effortlessly,effortlessly,12,true
appalled,appalled,8,true
assisted,assisted,8,true
keel,keel,4,true
appraise,appraise,8,true
attractiveness,attractiveness,14,true
innumerable,innumerable,11,true
innovator,innovator,9,true
allot,allot,5,true
assembled,assembled,9,true
attracting,attracting,10,true
err,err,3,true
effluent,effluent,8,true
approximation,approximation,13,true
appropriateness,appropriateness,15,true
aggressor,aggressor,9,true
annex,annex,5,true
attune,attune,6,true
affix,affix,5,true
offscreen,offscreen,9,true
toothpick,toothpick,9,true
innuendo,innuendo,8,true
elliptical,elliptical,10,true
looter,looter,6,true
apprehensive,apprehensive,12,true
immediacy,immediacy,9,true
crony,corny,5,false
immigrate,immigrate,9,true
affliction,affliction,10,true
toothbrush,toothbrush,10,true
doorman,doorman,7,true
moot,moot,4,true
toothpaste,toothpaste,10,true
looking,looking,7,true
ecclesiastical,ecclesiastical,14,true
teeming,teeming,7,true
doorknob,doorknob,8,true
woodworking,woodworking,11,true
meek,meek,4,true
assent,assent,6,true
irrespective,irrespective,12,true
deepening,deepening,9,true
alluring,alluring,8,true
coolly,coolly,6,true
acceptability,acceptability,13,true
oddity,oddity,6,true
allotment,allotment,9,true
innocuous,innocuous,9,true
footwear,footwear,8,true
foothold,foothold,8,true
voodoo,voodoo,6,true
irritable,irritable,9,true
soot,soot,4,true
booking,booking,7,true
seethe,seethe,6,true
noose,noose,5,true
woody,woody,5,true
ammo,ammo,4,true
loon,loon,4,true
fart,frat,4,false
affectionately,affectionately,14,true
attached,attached,8,true
accordion,accordion,9,true
issuing,issuing,7,true
affluence,affluence,9,true
effortless,effortless,10,true
attitudinal,attitudinal,11,true
accelerating,accelerating,12,true
annexation,annexation,10,true
opportunistic,opportunistic,13,true
offbeat,offbeat,7,true
shh,shh,3,true
poodle,poodle,6,true
affront,affront,7,true
errant,errant,6,true
woodwork,woodwork,8,true
accolade,accolade,8,true
aggressiveness,aggressiveness,14,true
foodborne,foodborne,9,true
foolishness,foolishness,11,true
essayist,essayist,8,true
goof,goof,4,true
appendage,appendage,9,true
annihilate,annihilate,10,true
roofing,roofing,7,true
innocently,innocently,10,true
irritated,irritated,9,true
accession,accession,9,true
leeway,leeway,6,true
illustrated,illustrated,11,true
illuminated,illuminated,11,true
arroyo,arroyo,6,true
applicability,applicability,13,true
oppositional,oppositional,12,true
assessor,assessor,8,true
coo,coo,3,true
occult,occult,6,true
alleyway,alleyway,8,true
umm,umm,3,true
doodle,doodle,6,true
coolness,coolness,8,true
woodpecker,woodpecker,10,true
annihilation,annihilation,12,true
allegorical,allegorical,11,true
seedy,seedy,5,true
aggravated,aggravated,10,true
assumed,assumed,7,true
allergen,allergen,8,true
eccentricity,eccentricity,12,true
doomed,doomed,6,true
assail,assail,6,true
illusory,illusory,8,true
poop,poop,4,true
accredit,accredit,8,true
annal,annal,5,true
leer,leer,4,true
bookseller,bookseller,10,true
illustrative,illustrative,12,true
woolly,woolly,6,true
woolen,woolen,6,true
goo,goo,3,true
peeled,peeled,6,true
abbot,abbot,5,true
ell,ell,3,true
beefy,beefy,5,true
leech,leech,5,true
abbe,abbe,4,true
affable,affable,7,true
beeper,beeper,6,true
irrigate,irrigate,8,true
illiteracy,illiteracy,10,true
assay,assay,5,true
weevil,weevil,6,true
jeez,jeez,4,true
toolbox,toolbox,7,true
ottoman,ottoman,7,true
assertiveness,assertiveness,13,true
affiliated,affiliated,10,true
immobile,immobile,8,true
leery,leery,5,true
allowable,allowable,9,true
aggregation,aggregation,11,true
arrowhead,arrowhead,9,true
assistive,assistive,9,true
immobilize,immobilize,10,true
moo,moo,3,true
assuage,assuage,7,true
effigy,effigy,6,true
illustrious,illustrious,11,true
seeing,seeing,6,true
irreverent,irreverent,10,true
appraiser,appraiser,9,true
officiate,officiate,9,true
jeer,jeer,4,true
accretion,accretion,9,true
innkeeper,innkeeper,9,true
foolproof,foolproof,9,true
affordability,affordability,13,true
cooperating,cooperating,11,true
allay,allay,5,true
innermost,innermost,9,true
accredited,accredited,10,true
goodnight,goodnight,9,true
illuminating,illuminating,12,true
allele,allele,6,true
offshoot,offshoot,8,true
peeling,peeling,7,true
attainable,attainable,10,true
needlessly,needlessly,10,true
beehive,beehive,7,true
oppressor,oppressor,9,true
boogie,boogie,6,true
toot,toot,4,true
woodcock,woodcock,8,true
ahh,ahh,3,true
foodstuff,foodstuff,9,true
foolishly,foolishly,9,true
offensively,offensively,11,true
hoopla,hoopla,6,true
irritant,irritant,8,true
seer,seer,4,true
goon,goon,4,true
accede,accede,6,true
occupying,occupying,9,true
irrevocably,irrevocably,11,true
ecclesial,ecclesial,9,true
moonlit,moonlit,7,true
zee,zee,3,true
cooperatively,cooperatively,13,true
immortalize,immortalize,11,true
irreplaceable,irreplaceable,13,true
approvingly,approvingly,11,true
oddball,oddball,7,true
innovate,innovate,8,true
gooey,gooey,5,true
illogical,illogical,9,true
offhand,offhand,7,true
abbreviated,abbreviated,11,true
mooring,mooring,7,true
doomsday,doomsday,8,true
rooted,rooted,6,true
assemblyman,assemblyman,11,true
immunize,immunize,8,true
teenaged,teenaged,8,true
aggrieved,aggrieved,9,true
offered,offered,7,true
efficacious,efficacious,11,true
toothless,toothless,9,true
immanent,immanent,8,true
boomerang,boomerang,9,true
attentively,attentively,11,true
irritability,irritability,12,true
ecclesiology,ecclesiology,12,true
keeping,keeping,7,true
appeasement,appeasement,11,true
illegitimacy,illegitimacy,12,true
immutable,immutable,9,true
weeknight,weeknight,9,true
unnaturally,unnaturally,11,true
accost,accost,6,true
immorality,immorality,10,true
booby,booby,5,true
irradiation,irradiation,11,true
erroneously,erroneously,11,true
issuance,issuance,8,true
bookkeeping,bookkeeping,11,true
coordinating,coordinating,12,true
innards,innards,7,true
weedy,weedy,5,true
bookkeeper,bookkeeper,10,true
attenuate,attenuate,9,true
