word,swapped_word,length,same_first_last
till,lilt,4,false
pin,nip,3,false
transport,transport,9,true
tent,tent,4,true
educate,educate,7,true
empire,empire,6,true
arena,arena,5,true
lap,pal,3,false
detailed,detailed,8,true
ah,ha,2,false
explode,explode,7,true
norm,morn,4,false
diamond,diamond,7,true
nomination,nomination,10,true
wow,wow,3,true
rumor,rumor,5,true
rail,lair,4,false
mainstream,mainstream,10,true
receiver,receiver,8,true
eagle,eagle,5,true
exclude,exclude,7,true
rat,tar,3,false
essence,essence,7,true
chronic,chronic,7,true
entitle,entitle,7,true
render,render,6,true
trait,trait,5,true
elaborate,elaborate,9,true
harsh,harsh,5,true
enforce,enforce,7,true
eve,eve,3,true
noon,noon,4,true
rider,rider,5,true
endure,endure,6,true
execute,execute,7,true
roar,roar,4,true
exclusive,exclusive,9,true
stimulus,stimulus,8,true
huh,huh,3,true
pickup,pickup,6,true
prop,prop,4,true
expertise,expertise,9,true
therapist,therapist,9,true
comic,comic,5,true
endorse,endorse,7,true
earthquake,earthquake,10,true
gut,tug,3,false
envelope,envelope,8,true
rubber,rubber,6,true
mushroom,mushroom,8,true
civic,civic,5,true
toilet,toilet,6,true
descend,descend,7,true
disappointed,disappointed,12,true
gathering,gathering,9,true
hatch,hatch,5,true
nutrition,nutrition,9,true
refrigerator,refrigerator,12,true
runner,runner,6,true
rap,par,3,false
dried,dried,5,true
tilt,tilt,4,true
thrust,thrust,6,true
ranger,ranger,6,true
retailer,retailer,8,true
momentum,momentum,8,true
dim,mid,3,false
disabled,disabled,8,true
reminder,reminder,8,true
toast,toast,5,true
regulator,regulator,9,true
transplant,transplant,10,true
excessive,excessive,9,true
logical,logical,7,true
eligible,eligible,8,true
widow,widow,5,true
suspicious,suspicious,10,true
depressed,depressed,9,true
transit,transit,7,true
exile,exile,5,true
radar,radar,5,true
alpha,alpha,5,true
shorts,shorts,6,true
bulb,bulb,4,true
developed,developed,9,true
millennium,millennium,10,true
loyal,loyal,5,true
trout,trout,5,true
wan,naw,3,false
transmit,transmit,8,true
ram,mar,3,false
expenditure,expenditure,11,true
bud,dub,3,false
evoke,evoke,5,true
suppress,suppress,8,true
ensemble,ensemble,8,true
prep,prep,4,true
discard,discard,7,true
gambling,gambling,8,true
surplus,surplus,7,true
mac,cam,3,false
download,download,8,true
devoted,devoted,7,true
reel,leer,4,false
theft,theft,5,true
excite,excite,6,true
tenant,tenant,6,true
modem,modem,5,true
explosive,explosive,9,true
mug,gum,3,false
reactor,reactor,7,true
ruler,ruler,5,true
sadness,sadness,7,true
emergence,emergence,9,true
tempt,tempt,5,true
swiss,swiss,5,true
nitrogen,nitrogen,8,true
nun,nun,3,true
eclipse,eclipse,7,true
excellence,excellence,10,true
distinguished,distinguished,13,true
doc,cod,3,false
dividend,dividend,8,true
po,op,2,false
deed,deed,4,true
erase,erase,5,true
transparent,transparent,11,true
reservoir,reservoir,9,true
cosmic,cosmic,6,true
tract,tract,5,true
aurora,aurora,6,true
determined,determined,10,true
elevate,elevate,7,true
downward,downward,8,true
desired,desired,7,true
tout,tout,4,true
dread,dread,5,true
testament,testament,9,true
theorist,theorist,8,true
roster,roster,6,true
roller,roller,6,true
recorder,recorder,8,true
northwestern,northwestern,12,true
lethal,lethal,6,true
greeting,greeting,8,true
surroundings,surroundings,12,true
asthma,asthma,6,true
guiding,guiding,7,true
lag,gal,3,false
raider,raider,6,true
exaggerate,exaggerate,10,true
newborn,newborn,7,true
expire,expire,6,true
sideways,sideways,8,true
steroids,steroids,8,true
transcript,transcript,10,true
pear,reap,4,false
spontaneous,spontaneous,11,true
dedicated,dedicated,9,true
nonfiction,nonfiction,10,true
evacuate,evacuate,8,true
landfill,landfill,8,true
twilight,twilight,8,true
delighted,delighted,9,true
damned,damned,6,true
reformer,reformer,8,true
gardening,gardening,9,true
sunglasses,sunglasses,10,true
remainder,remainder,9,true
hunch,hunch,5,true
napkin,napkin,6,true
lever,revel,5,false
laurel,laurel,6,true
enzyme,enzyme,6,true
erode,erode,5,true
surpass,surpass,7,true
elusive,elusive,7,true
sneakers,sneakers,8,true
exacerbate,exacerbate,10,true
governing,governing,9,true
trumpet,trumpet,7,true
antenna,antenna,7,true
designated,designated,10,true
disregard,disregard,9,true
trot,trot,4,true
glowing,glowing,7,true
willow,willow,6,true
razor,razor,5,true
rancher,rancher,7,true
catastrophic,catastrophic,12,true
northeastern,northeastern,12,true
rover,rover,5,true
temperament,temperament,11,true
cubic,cubic,5,true
chaotic,chaotic,7,true
sickness,sickness,8,true
tablet,tablet,6,true
tart,tart,4,true
escalate,escalate,8,true
enlarge,enlarge,7,true
endurance,endurance,9,true
ceramic,ceramic,7,true
literal,literal,7,true
cardiac,cardiac,7,true
chic,chic,4,true
nineteen,nineteen,8,true
yearly,yearly,6,true
grouping,grouping,8,true
deceased,deceased,8,true
gig,gig,3,true
synthesis,synthesis,9,true
turnout,turnout,7,true
reconsider,reconsider,10,true
navigation,navigation,10,true
evaporate,evaporate,9,true
gleaming,gleaming,8,true
ragged,dagger,6,false
expressive,expressive,10,true
lateral,lateral,7,true
gag,gag,3,true
neon,neon,4,true
equate,equate,6,true
reviewer,reviewer,8,true
norwegian,norwegian,9,true
exquisite,exquisite,9,true
aroma,aroma,5,true
plump,plump,5,true
divorced,divorced,8,true
stainless,stainless,9,true
expanse,expanse,7,true
cleric,cleric,6,true
nonproliferation,nonproliferation,16,true
longitudinal,longitudinal,12,true
eerie,eerie,5,true
aura,aura,4,true
divided,divided,7,true
nylon,nylon,5,true
cosmetic,cosmetic,8,true
racer,racer,5,true
going,going,5,true
hush,hush,4,true
hitch,hitch,5,true
electorate,electorate,10,true
pulp,pulp,4,true
thwart,thwart,6,true
pup,pup,3,true
rocker,rocker,6,true
seriousness,seriousness,11,true
tenet,tenet,5,true
simultaneous,simultaneous,12,true
entree,entree,6,true
enclose,enclose,7,true
damaged,damaged,7,true
charismatic,charismatic,11,true
rapper,rapper,6,true
wed,dew,3,false
spacious,spacious,8,true
sinus,sinus,5,true
emanate,emanate,7,true
scissors,scissors,8,true
torment,torment,7,true
disadvantaged,disadvantaged,13,true
kayak,kayak,5,true
anova,anova,5,true
lad,dal,3,false
nigerian,nigerian,8,true
gaming,gaming,6,true
energize,energize,8,true
reappear,reappear,8,true
enjoyable,enjoyable,9,true
thrift,thrift,6,true
memorandum,memorandum,10,true
emulate,emulate,7,true
metabolism,metabolism,10,true
expansive,expansive,9,true
taunt,taunt,5,true
enclave,enclave,7,true
worldview,worldview,9,true
said,dais,4,false
tolerant,tolerant,8,true
sweetness,sweetness,9,true
eradicate,eradicate,9,true
elegance,elegance,8,true
robber,robber,6,true
electrode,electrode,9,true
modernism,modernism,9,true
elude,elude,5,true
receptor,receptor,8,true
ensue,ensue,5,true
rectangular,rectangular,11,true
generating,generating,10,true
neuron,neuron,6,true
enclosure,enclosure,9,true
bathtub,bathtub,7,true
excavate,excavate,8,true
darkened,darkened,8,true
notation,notation,8,true
evade,evade,5,true
neutron,neutron,7,true
thirst,thirst,6,true
mum,mum,3,true
entice,entice,6,true
rigor,rigor,5,true
equitable,equitable,9,true
recruiter,recruiter,9,true
translucent,translucent,11,true
devoid,devoid,6,true
deserted,deserted,8,true
espouse,espouse,7,true
moratorium,moratorium,10,true
transient,transient,9,true
edible,edible,6,true
grieving,grieving,8,true
displaced,displaced,9,true
taint,taint,5,true
turbulent,turbulent,9,true
narration,narration,9,true
lull,lull,4,true
grazing,grazing,7,true
taut,taut,4,true
triumphant,triumphant,10,true
defeated,defeated,8,true
eyepiece,eyepiece,8,true
dissatisfied,dissatisfied,12,true
rafter,rafter,6,true
hearth,hearth,6,true
plop,plop,4,true
disgusted,disgusted,9,true
multiculturalism,multiculturalism,16,true
dignified,dignified,9,true
encircle,encircle,8,true
oregano,oregano,7,true
disciplined,disciplined,11,true
barb,barb,4,true
rooster,rooster,7,true
rediscover,rediscover,10,true
revolver,revolver,8,true
windrow,windrow,7,true
stillness,stillness,9,true
synonymous,synonymous,10,true
emigrate,emigrate,8,true
mammogram,mammogram,9,true
eave,eave,4,true
espionage,espionage,9,true
tint,tint,4,true
academia,academia,8,true
pimp,pimp,4,true
dated,dated,5,true
elective,elective,8,true
thicket,thicket,7,true
gaping,gaping,6,true
distorted,distorted,9,true
stiffness,stiffness,9,true
bro,orb,3,false
rescuer,rescuer,7,true
tort,tort,4,true
decorated,decorated,9,true
exhale,exhale,6,true
microorganism,microorganism,13,true
grinding,grinding,8,true
encode,encode,6,true
algebra,algebra,7,true
madam,madam,5,true
glittering,glittering,10,true
repel,leper,5,false
entourage,entourage,9,true
etiquette,etiquette,9,true
magnesium,magnesium,9,true
disputed,disputed,8,true
leek,keel,4,false
disturbed,disturbed,9,true
dashboard,dashboard,9,true
transcendent,transcendent,12,true
midterm,midterm,7,true
knack,knack,5,true
tuft,tuft,4,true
anesthesia,anesthesia,10,true
notification,notification,12,true
heath,heath,5,true
torrent,torrent,7,true
drained,drained,7,true
decreased,decreased,9,true
tyrant,tyrant,6,true
peep,peep,4,true
logistical,logistical,10,true
aha,aha,3,true
mm,mm,2,true
realtor,realtor,7,true
rotor,rotor,5,true
exude,exude,5,true
traditionalist,traditionalist,14,true
lapel,lapel,5,true
seamless,seamless,8,true
reliever,reliever,8,true
scallions,scallions,9,true
maxim,maxim,5,true
liturgical,liturgical,10,true
nightgown,nightgown,9,true
cinematic,cinematic,9,true
detached,detached,8,true
engrave,engrave,7,true
hash,hash,4,true
mayhem,mayhem,6,true
delayed,delayed,7,true
disgruntled,disgruntled,11,true
ammonia,ammonia,7,true
epitomize,epitomize,9,true
pep,pep,3,true
nonpartisan,nonpartisan,11,true
materialism,materialism,11,true
exhaustive,exhaustive,10,true
fluff,fluff,5,true
aria,aria,4,true
senseless,senseless,9,true
reindeer,reindeer,8,true
nan,nan,3,true
reflector,reflector,9,true
speechless,speechless,10,true
teapot,teapot,6,true
mmm,mmm,3,true
glaring,glaring,7,true
strenuous,strenuous,9,true
kiosk,kiosk,5,true
ya,ay,2,false
distressed,distressed,10,true
climatic,climatic,8,true
norman,norman,6,true
recur,recur,5,true
disoriented,disoriented,11,true
enrage,enrage,6,true
expatriate,expatriate,10,true
lyrical,lyrical,7,true
gong,gong,4,true
decentralized,decentralized,13,true
radiator,radiator,8,true
partisanship,partisanship,12,true
magnum,magnum,6,true
naturalization,naturalization,14,true
celtic,celtic,6,true
encase,encase,6,true
nicaraguan,nicaraguan,10,true
defined,defined,7,true
stewardess,stewardess,10,true
grueling,grueling,8,true
dreaded,dreaded,7,true
groundbreaking,groundbreaking,14,true
noun,noun,4,true
rusted,duster,6,false
marxism,marxism,7,true
evocative,evocative,9,true
discarded,discarded,9,true
sclerosis,sclerosis,9,true
anemia,anemia,6,true
subconscious,subconscious,12,true
tacit,tacit,5,true
excise,excise,6,true
wallow,wallow,6,true
stairs,stairs,6,true
softness,softness,8,true
diminished,diminished,10,true
summons,summons,7,true
rainwater,rainwater,9,true
turret,turret,6,true
exuberance,exuberance,10,true
raptor,raptor,6,true
renter,renter,6,true
gratifying,gratifying,10,true
diseased,diseased,8,true
tenement,tenement,8,true
grinning,grinning,8,true
glistening,glistening,10,true
superstitious,superstitious,13,true
blob,blob,4,true
expletive,expletive,9,true
disband,disband,7,true
dazed,dazed,5,true
dilapidated,dilapidated,11,true
triplet,triplet,7,true
microcosm,microcosm,9,true
extrapolate,extrapolate,11,true
disordered,disordered,10,true
pap,pap,3,true
syllabus,syllabus,8,true
router,router,6,true
rusher,rusher,6,true
overdo,overdo,6,true
lawful,lawful,6,true
grading,grading,7,true
martyrdom,martyrdom,9,true
moslem,moslem,6,true
entangle,entangle,8,true
sumptuous,sumptuous,9,true
documented,documented,10,true
sleepless,sleepless,9,true
enumerate,enumerate,9,true
cryptic,cryptic,7,true
shyness,shyness,7,true
responder,responder,9,true
alfalfa,alfalfa,7,true
discord,discord,7,true
enslave,enslave,7,true
tot,tot,3,true
edifice,edifice,7,true
deformed,deformed,8,true
downwind,downwind,8,true
diversified,diversified,11,true
retriever,retriever,9,true
restaurateur,restaurateur,12,true
gripping,gripping,8,true
thermostat,thermostat,10,true
exonerate,exonerate,9,true
amnesia,amnesia,7,true
azalea,azalea,6,true
selfishness,selfishness,11,true
encore,encore,6,true
libel,libel,5,true
cynic,cynic,5,true
grounding,grounding,9,true
deferred,deferred,8,true
scandalous,scandalous,10,true
elucidate,elucidate,9,true
tantamount,tantamount,10,true
refractor,refractor,9,true
dogwood,dogwood,7,true
disinterested,disinterested,13,true
encapsulate,encapsulate,11,true
respirator,respirator,10,true
telecast,telecast,8,true
golfing,golfing,7,true
normalization,normalization,13,true
anorexia,anorexia,8,true
arugula,arugula,7,true
tryout,tryout,6,true
spoils,spoils,6,true
kink,kink,4,true
giving,giving,6,true
domesticated,domesticated,12,true
externalize,externalize,11,true
epitome,epitome,7,true
dud,dud,3,true
enshrine,enshrine,8,true
sensuous,sensuous,8,true
druid,druid,5,true
roper,roper,5,true
shambles,shambles,8,true
grating,grating,7,true
doomed,doomed,6,true
spotless,spotless,8,true
outdo,outdo,5,true
sis,sis,3,true
poop,poop,4,true
envisage,envisage,8,true
tidbit,tidbit,6,true
shameless,shameless,9,true
diced,diced,5,true
superfluous,superfluous,11,true
wheelbarrow,wheelbarrow,11,true
rudder,rudder,6,true
evaluative,evaluative,10,true
cystic,cystic,6,true
dipper,ripped,6,false
cognac,cognac,6,true
concentric,concentric,10,true
evasive,evasive,7,true
extricate,extricate,9,true
distributed,distributed,11,true
rater,rater,5,true
depleted,depleted,8,true
mysticism,mysticism,9,true
syphilis,syphilis,8,true
eloquence,eloquence,9,true
heh,heh,3,true
evacuee,evacuee,7,true
strangeness,strangeness,11,true
hah,hah,3,true
apnea,apnea,5,true
empathize,empathize,9,true
mausoleum,mausoleum,9,true
retainer,retainer,8,true
selfless,selfless,8,true
riser,riser,5,true
equivalence,equivalence,11,true
negation,negation,8,true
elapse,elapse,6,true
landfall,landfall,8,true
entwine,entwine,7,true
deprived,deprived,8,true
enunciate,enunciate,9,true
exasperate,exasperate,10,true
knapsack,knapsack,8,true
semantics,semantics,9,true
dispersed,dispersed,9,true
loll,loll,4,true
sharpness,sharpness,9,true
disaffected,disaffected,11,true
anathema,anathema,8,true
yummy,yummy,5,true
maim,maim,4,true
hutch,hutch,5,true
foolproof,foolproof,9,true
dismayed,dismayed,8,true
defraud,defraud,7,true
sameness,sameness,8,true
tempest,tempest,7,true
extravagance,extravagance,12,true
henceforth,henceforth,10,true
kickback,kickback,8,true
eminence,eminence,8,true
recliner,recliner,8,true
magnetism,magnetism,9,true
haunch,haunch,6,true
neurosurgeon,neurosurgeon,12,true
newsman,newsman,7,true
dyad,dyad,4,true
horseradish,horseradish,11,true
ringer,ringer,6,true
enviable,enviable,8,true
shoals,shoals,6,true
rollover,rollover,8,true
stasis,stasis,6,true
rector,rector,6,true
exterminate,exterminate,11,true
toot,toot,4,true
deathbed,deathbed,8,true
downed,downed,6,true
catalytic,catalytic,9,true
skinless,skinless,8,true
tact,tact,4,true
polyp,polyp,5,true
foodstuff,foodstuff,9,true
trinket,trinket,7,true
demented,demented,8,true
claustrophobic,claustrophobic,14,true
equalize,equalize,8,true
earphone,earphone,8,true
enthuse,enthuse,7,true
dotted,dotted,6,true
erstwhile,erstwhile,9,true
hallelujah,hallelujah,10,true
sleeveless,sleeveless,10,true
tumult,tumult,6,true
larval,larval,6,true
seamstress,seamstress,10,true
emigre,emigre,6,true
directed,directed,8,true
newtonian,newtonian,9,true
declared,declared,8,true
hellish,hellish,7,true
disenchanted,disenchanted,12,true
departed,departed,8,true
raiser,raiser,6,true
driftwood,driftwood,9,true
evince,evince,6,true
synopsis,synopsis,8,true
reveler,reveler,7,true
ewe,ewe,3,true
mannerism,mannerism,9,true
subspecies,subspecies,10,true
spurious,spurious,8,true
suspenders,suspenders,10,true
registrar,registrar,9,true
disguised,disguised,9,true
smoothness,smoothness,10,true
stubbornness,stubbornness,12,true
expendable,expendable,10,true
technologist,technologist,12,true
smarts,smarts,6,true
devastated,devastated,10,true
enforceable,enforceable,11,true
epilogue,epilogue,8,true
breadcrumb,breadcrumb,10,true
electrolyte,electrolyte,11,true
caustic,caustic,7,true
disembodied,disembodied,11,true
granting,granting,8,true
laryngeal,laryngeal,9,true
cataclysmic,cataclysmic,11,true
destroyed,destroyed,9,true
domed,domed,5,true
earthenware,earthenware,11,true
dumbfound,dumbfound,9,true
climactic,climactic,9,true
shortness,shortness,9,true
expedite,expedite,8,true
militarism,militarism,10,true
discounted,discounted,10,true
degraded,degraded,8,true
caloric,caloric,7,true
nationalization,nationalization,15,true
angina,angina,6,true
demonstrated,demonstrated,12,true
stylus,stylus,6,true
dogged,dogged,6,true
sos,sos,3,true
shapeless,shapeless,9,true
microfilm,microfilm,9,true
graying,graying,7,true
bib,bib,3,true
parsnip,parsnip,7,true
grudging,grudging,8,true
maelstrom,maelstrom,9,true
shenanigans,shenanigans,11,true
magisterium,magisterium,11,true
dyed,dyed,4,true
earlobe,earlobe,7,true
sass,sass,4,true
dissolved,dissolved,9,true
